name,minutesPlayed,season,school,gamesPlayed,gamesStarted,mpg,fgmpg,fgapg,twopmpg,twopapg,threepmpg,threepapg,ftmpg,ftapg,orebpg,drebpg,totalrebpg,astpg,spg,bpg,topg,foulspg,ppg,fgPercent,twoPercent,threePercent,ftPercent,tsPercent,efgPercent,position,grade,ws,ortg,drating,ows,dws,wsp40,obpm,dbpm,bpm,per,orebrate,drebrate,totalrebrate,astrate,stlrate,blkrate,tovrate,usgrate
Eric Reibe,383,2025-26,Connecticut,24,5,16,3.1,4.8,3,4.3,0.2,0.5,0.8,1.5,1.3,2.8,4.2,0.5,0.3,1,0.7,2.2,7.2,0.647,0.683,0.333,0.5,0.646,0.664,C,FR,1.9,125,94,0.9,1,0.202,3,4.4,7.4,21.8,10.3,20.2,15.5,5.5,1.1,7.1,10.7,19.9
Flory Bidunga,754,2025-26,Kansas,24,24,31.4,6.3,9.2,6.3,9.1,0,0,2.3,3.5,2.8,6.1,9,1.7,0.7,2.8,1.5,2.1,14.9,0.686,0.689,0,0.675,0.69,0.686,F,SO,4.6,134,95,2.6,2,0.242,6.9,6.1,13,27.7,11.1,18.7,15.4,10.9,1.2,10,12.2,20.3
Hannes Steinbach,704,2025-26,Washington,21,21,33.5,6.4,11.9,5.8,10.1,0.6,1.8,4,5.3,4.2,7,11.2,1.5,1.1,1,1.9,2.3,17.5,0.542,0.575,0.351,0.759,0.609,0.568,F,FR,3.6,127,104,2.4,1.2,0.204,7.3,2.3,9.5,26.4,14.6,23.8,19.3,9.1,1.9,3.2,11.7,24.1
Henri Veesaar,745,2025-26,North Carolina,24,24,31,6.3,10.3,5.1,7.5,1.3,2.8,2.5,4,2.3,6.7,9,2,0.6,1.2,1.5,2.6,16.4,0.615,0.678,0.448,0.621,0.673,0.676,F,SR,4.2,132,100,2.6,1.6,0.224,6.9,3.8,10.7,25.3,8.7,22,15.8,12.6,1.2,3.8,11.2,21.9
Isaiah Evans,663,2025-26,Duke,24,24,27.6,4.5,10.8,2.1,3.9,2.4,6.9,2.8,3.2,0.3,2.7,3,1.3,0.9,0.9,1.1,1,14.3,0.422,0.548,0.352,0.883,0.584,0.535,G,SO,3.4,123,97,1.8,1.6,0.202,5.9,3.6,9.5,19,1.5,10.6,6.3,8.1,1.9,3.9,8.4,24.3
Ivan Kharchenkov,618,2025-26,Arizona,24,24,25.8,3.7,7.4,3,4.9,0.8,2.5,1.4,1.9,0.9,2.7,3.6,2.2,1.6,0.4,1.2,1.5,9.5,0.503,0.607,0.3,0.717,0.576,0.554,F,FR,2.8,121,95,1.2,1.6,0.18,3.4,5.9,9.3,16.6,4.2,10,7.4,12.9,3.4,1.5,12.3,17
Jaden Bradley,691,2025-26,Arizona,24,24,28.8,4.4,8.8,3.8,7.3,0.7,1.6,4,5,0.6,3,3.5,4.5,1.9,0,1.7,2,13.5,0.5,0.517,0.421,0.8,0.602,0.538,G,SR,4,129,95,2.2,1.8,0.229,4.4,6.2,10.6,20.9,2.4,10,6.6,24.1,3.6,0.1,12.9,20.7
Jayden Quaintance,67,2025-26,Kentucky,4,1,16.8,2,3.5,2,3.5,0,0,1,3.3,2,3,5,0.5,0.5,0.8,1.5,1.3,5,0.571,0,0,0,0,0,C,SO,0.1,93,102,0,0.1,0.062,0.1,1.8,1.8,13.2,13.7,19.5,16.7,5.1,1.7,5.1,22.9,19.3
Johann Grunloh,525,2025-26,Virginia,24,24,21.9,3,5.9,2.3,3.9,0.6,2,1.3,2.4,2.6,3.2,5.8,0.8,0.5,2.1,0.7,2.5,7.8,0.504,0.596,0.319,0.517,0.555,0.557,C,FR,2.5,125,97,1.2,1.2,0.187,2.6,3.7,6.3,20.7,13.8,15.6,14.7,6.5,1.3,10.7,9.2,17.6
John Blackwell,771,2025-26,Wisconsin,23,23,33.5,5.5,13.5,2.9,6.5,2.6,7,5.1,6,1.3,3.7,5,2.4,1.3,0.1,1.7,2.4,18.7,0.408,0.447,0.373,0.848,0.572,0.505,G,JR,3.1,121,110,2.2,1,0.163,5.2,1.7,6.9,19.9,4.3,12.8,8.5,13.7,2.2,0.3,9.2,26.8
